filename,platform,gameId,gameVersion,patch,mapId,gameLength_s,size_bytes,sha256,n_chunks,zstd_ok
EUW1-7923643720.rofl,EUW1,7923643720,16.14.794.5912,16.14,11,1138.0,8446663,890222117ebceef7c3f1fca0f391c21ed3586232c70cbe2529053525f76d32b6,59,True
EUW1-7923722163.rofl,EUW1,7923722163,16.14.794.5912,16.14,11,1768.0,14438628,c76bdaef5272732379bcabd0a48f8702c2d93a2d83cbc89c98df86c8abd894ab,91,True
EUW1-7923755087.rofl,EUW1,7923755087,16.14.794.5912,16.14,11,1706.8,14635423,1808380b3db9839882d7d898f95cb6a70fdd530bef7e810fee618526f81d078a,88,True
EUW1-7923770725.rofl,EUW1,7923770725,16.14.794.5912,16.14,11,2128.3,17732461,f5dc022f5e41d6dbbca5d6a550fe7e3c0b609849aad6c71b1ca567eb3c1d44c3,109,True
EUW1-7923793163.rofl,EUW1,7923793163,16.14.794.5912,16.14,11,1660.0,13683507,2370e92d491fd578ed8081f8b465e67f382f8362393ac6c4a288dfbf399d1ff3,86,True
EUW1-7923864077.rofl,EUW1,7923864077,16.14.794.5912,16.14,11,2335.0,18021152,7e8b605d8307567734178ba2dd39b8bf298ab33139313f8ffd2ede7b31e8f29a,119,True
EUW1-7923876374.rofl,EUW1,7923876374,16.14.794.5912,16.14,11,1855.0,15895137,3c2135c8c295621db2e35aaa339e7fbdd1cf9a30f01756e3619d1cc3a806503a,95,True
EUW1-7923903810.rofl,EUW1,7923903810,16.14.794.5912,16.14,11,1690.8,12975663,d3dfb3d41315307efc92ff4683e723fef63187eb385e41fd11b5d4f38cf2cdc4,88,True
EUW1-7923907356.rofl,EUW1,7923907356,16.14.794.5912,16.14,11,912.2,7315629,eccc71c381d4af9e7cd281e5c49029d973ebc2fffe1f92fe90806d004e12d3ca,49,True
EUW1-7923924885.rofl,EUW1,7923924885,16.14.794.5912,16.14,11,1606.0,11829960,2de174df129a09160236d0a32443d6fefa3fefeb183fc007ea925938fff82120,83,True
EUW1-7923926773.rofl,EUW1,7923926773,16.14.794.5912,16.14,11,1738.4,14156062,c9fb824e739fca387d09afb931e5cd9c9243177ec6e098e267bbe7f86370425b,89,True
EUW1-7923938466.rofl,EUW1,7923938466,16.14.794.5912,16.14,11,1366.5,12280311,3f38bb2c30316410b3e8c117c5b5e9516c895f1f3f1f47bfa4b94c84a7b5ea0c,71,True
EUW1-7923945079.rofl,EUW1,7923945079,16.14.794.5912,16.14,11,1356.9,10251942,4b404b20502ca75d34d7b97d23b23c077e933a2f0cef6d12c51776e227ecc1db,71,True
EUW1-7923963857.rofl,EUW1,7923963857,16.14.794.5912,16.14,11,2307.8,18642512,5e67cb7a943bc46ea90eb324d140f3c24d048776e561dcfca6188db7ac2747c0,118,True
EUW1-7924021291.rofl,EUW1,7924021291,16.14.794.5912,16.14,11,2113.2,16799878,7797859b0c8e5720567a76289c4f9c7e63b16333202129e76581fe7f628a0748,109,True
EUW1-7924042790.rofl,EUW1,7924042790,16.14.794.5912,16.14,11,2109.6,16456945,870885af085cda085c4279bf054ca6fe07b3fda0e23fdda4a9f1b1287813cf44,109,True
EUW1-7924049970.rofl,EUW1,7924049970,16.14.794.5912,16.14,11,1695.4,13790227,4d5072669b7df470853b7800afb49ee3ebb1dbbcc08dd47746d126c03a7e7dd5,88,True
EUW1-7924070342.rofl,EUW1,7924070342,16.14.794.5912,16.14,11,1696.0,12703119,344842905e455812d0a5cbfcb6a475d6926f15e193194aac0ef42b00aca8a3cc,88,True
EUW1-7924154855.rofl,EUW1,7924154855,16.14.794.5912,16.14,11,1175.5,9273521,e39fd98f940e71ebe796c133f2ddf4d7aa10071feac71f046af48a20721c874d,62,True
EUW1-7924166070.rofl,EUW1,7924166070,16.14.794.5912,16.14,11,1146.8,8912393,d0a5f159543326518b3172a983eaf3e73166d955628c5186e2ab51437e0d73e7,61,True
EUW1-7924192820.rofl,EUW1,7924192820,16.14.794.5912,16.14,11,1142.5,8915944,054b4efddbb31e50dfed37563ef022080ab4a47aab013134a6fa9bcfd6e3ecf7,61,True
EUW1-7924201643.rofl,EUW1,7924201643,16.14.794.5912,16.14,11,1246.1,9171645,f6d235c4d2906042c5319cba8486812799c448955c11a8a578342cc6f78a686c,65,True
